ROUTE_SORT_ORDER,RIDERSHIP_AVERAGE,YTD_TOTAL_RIDERSHIP_COUNT,QTD_TOTAL_RIDERSHIP_COUNT,PY_QTD_TOTAL_RIDERSHIP_COUNT,PY_YTD_TOTAL_RIDERSHIP_COUNT,PY_RIDERSHIP_AVERAGE,YEAR_NUM,MONTH_NAME,MONTH_SHORT_NAME,MONTH_END_DATE,MONTH_YEAR,DAY_TYPE,MODE_NAME,SUB_MODE,ROUTE_NAME,DATA_AS_OF,SHOW_ON_DASHBOARD,FISCAL_YEAR_NUMBER,FISCAL_MONTH_NUMBER,FISCAL_QUARTER_NUMBER
21,11143.8217,35832.02958,35832.02958,,,,2016,December,12-Dec,20161231,Dec-2016,Weekday,MetroBus,Local Routes,21-Exposition/Chicon Clockwise,07/31/2021,1,2017,3,1
331,0,0,0,0,471733.15507,0,2019,August,08-Aug,20190831,Aug-2019,Weekday,MetroBus,Crosstown Routes,331-Oltorf,07/31/2021,1,2019,11,4
240,0,0,0,0,0,0,2020,November,11-Nov,20201130,Nov-20,Saturday,MetroBus,Feeder Routes,240-Rutland,07/31/2021,1,2021,2,1
110,0,0,0,,,,2017,June,06-Jun,20170630,Jun-2017,Saturday,MetroBus,Flyer Routes,110-South Central Flyer,07/31/2021,1,2017,9,3
323,8810.94148,82610.7837,8810.94148,8581.32553,99259.07674,8581.32553,2021,July,07-Jul,20210731,Jul-20,Weekday,MetroBus,Crosstown Routes,323-Anderson,07/31/2021,1,2021,10,4
980,0,0,0,0,1408.85602,0,2021,April,04-Apr,20210430,Apr-20,Saturday,MetroExpress,MetroExpress,980-North Mopac Express,07/31/2021,1,2021,7,3
310,0,0,0,0,0,0,2018,April,04-Apr,20180430,Apr-2018,Saturday,MetroBus,Crosstown Routes,310-Parker/Wickersham,07/31/2021,1,2018,7,3
322,5526.05538,11715.86472,11715.86472,22388.32319,22388.32319,9879.95972,2020,November,11-Nov,20201130,Nov-20,Weekday,MetroBus,Crosstown Routes,322-Chicon/Cherrywood,07/31/2021,1,2021,2,1
127,0,0,0,0,0,0,2019,January,01-Jan,20190131,Jan-2019,Sunday,MetroBus,Flyer Routes,127-Dove Springs Flyer,07/31/2021,1,2019,4,2
550,3320.66664,43954.18323,3320.66664,4138,48459.34249,4138,2019,April,04-Apr,20190430,Apr-2019,Saturday,MetroRail,MetroRail,550-Metro Rail Red Line,07/31/2021,1,2019,7,3
135,428.48686,7080.33437,1386.68839,1753.34808,8504.54363,500.9526,2018,September,09-Sep,20180930,Sep-2018,Weekday,MetroBus,Flyer Routes,135-Dell Limited,07/31/2021,1,2018,12,4
243,8050.7956,41629.53514,15991.3512,15373.6954,39317.09335,7781.5696,2018,February,02-Feb,20180228,Feb-2018,Weekday,MetroBus,Feeder Routes,243-Wells Branch,07/31/2021,1,2018,5,2
18,12525.58318,109436.40239,12525.58318,10279.81803,177722.25931,10279.81803,2021,July,07-Jul,20210731,Jul-20,Weekday,MetroBus,Local Routes,18-Martin Luther King,07/31/2021,1,2021,10,4
981,0,0,0,,,,2016,November,11-Nov,20161130,Nov-2016,Sunday,MetroExpress,MetroExpress,981-Oak Knoll Express,07/31/2021,1,2017,2,1
345,513.3333,4690.93316,1487.33325,459,459,459,2019,June,06-Jun,20190630,Jun-2019,Sunday,MetroBus,Crosstown Routes,345-45TH,07/31/2021,1,2019,9,3
670,658,658,658,546,546,546,2018,October,10-Oct,20181031,Oct-2018,Sunday,MetroBus,UT Shuttles,670-Crossing Place,07/31/2021,1,2019,1,1
803,127620.71868,707595.28089,356016.17096,222125.02276,621318.58832,119838.61736,2019,March,03-Mar,20190331,Mar-2019,Weekday,MetroRapid,MetroRapid,803-Burnet/S Lamar,07/31/2021,1,2019,6,2
337,2672.59996,43077.22873,2672.59996,6202,56188.2978,6202,2020,July,07-Jul,20200731,Jul-20,Saturday,MetroBus,Crosstown Routes,337-Koenig/Colony Park,07/31/2021,1,2020,10,4
214,0,0,0,0,0,0,2021,March,03-Mar,20210331,Mar-20,Saturday,MetroBus,Feeder Routes,214-Northwest Feeder,07/31/2021,1,2021,6,2
333,4198.53656,39178.35143,12696.2032,12473.58332,53806.99009,4065.33332,2021,June,06-Jun,20210630,Jun-20,Saturday,MetroBus,Crosstown Routes,333-William Cannon,07/31/2021,1,2021,9,3
411,568,3906.5499,568,,,,2017,January,01-Jan,20170131,Jan-2017,Weekday,MetroBus,Special Service Routes,411-E-Bus/Riverside,07/31/2021,1,2017,4,2
455,0,0,0,0,0,0,2018,March,03-Mar,20180331,Mar-2018,Saturday,MetroBus,Special Service Routes,455-Bus Bridge MV,07/31/2021,1,2018,6,2
325,3890.25,3890.25,3890.25,,,,2016,October,10-Oct,20161031,Oct-2016,Sunday,MetroBus,Crosstown Routes,325-Metric/Rundberg,07/31/2021,1,2017,1,1
985,688.01414,165798.58313,901.7141,84606.08888,214430.81646,30271.9576,2020,June,06-Jun,20200630,Jun-20,Weekday,MetroExpress,MetroExpress,985-Leander/Lakeline Direct,07/31/2021,1,2020,9,3
238,964.74995,5398.72039,964.74995,,,,2017,April,04-Apr,20170430,Apr-2017,Sunday,MetroBus,Feeder Routes,238-Westgate,07/31/2021,1,2017,7,3
127,0,0,0,0,0,0,2017,October,10-Oct,20171031,Oct-2017,Sunday,MetroBus,Flyer Routes,127-Dove Springs Flyer,07/31/2021,1,2018,1,1
490,726.67824,9055.7121,2369.58751,,,,2017,September,09-Sep,20170930,Sep-2017,Weekday,MetroBus,Special Service Routes,490-HEB Shuttle,07/31/2021,1,2017,12,4
243,1381.99995,12544.49986,1381.99995,1370.5,11995.12074,1370.5,2019,July,07-Jul,20190731,Jul-2019,Saturday,MetroBus,Feeder Routes,243-Wells Branch,07/31/2021,1,2019,10,4
640,21677.29362,134624.06685,62970.00487,,,,2017,March,03-Mar,20170331,Mar-2017,Weekday,MetroBus,UT Shuttles,640-Forty Acres,07/31/2021,1,2017,6,2
653,0,0,0,0,0,0,2021,April,04-Apr,20210430,Apr-20,Saturday,MetroBus,UT Shuttles,653-Red River,07/31/2021,1,2021,7,3
10,144622.1428,310475.1428,310475.1428,170112.21694,170112.21694,79161.494,2018,November,11-Nov,20181130,Nov-2018,Weekday,MetroBus,Local Routes,10-South 1st/Red River,07/31/2021,1,2019,2,1
30,1833.66664,30269.63812,5732.33323,12534.81662,42647.04913,3161.73332,2020,September,09-Sep,20200930,Sep-20,Saturday,MetroBus,Local Routes,30-Barton Creek Sq,07/31/2021,1,2020,12,4
642,220,1359.99998,220,166,940.89998,166,2018,January,01-Jan,20180131,Jan-2018,Sunday,MetroBus,UT Shuttles,642-West Campus/UT,07/31/2021,1,2018,4,2
201,1395,2375.79996,2375.79996,2191.99991,2191.99991,1225.99995,2019,November,11-Nov,20191130,Nov-2019,Saturday,MetroBus,Feeder Routes,201-Southpark Meadows,07/31/2021,1,2020,2,1
484,199,1759.43328,199,246.66664,2113.66012,246.66664,2019,April,04-Apr,20190430,Apr-2019,Saturday,MetroBus,Special Service Routes,484-Night Owl South Lamar,07/31/2021,1,2019,7,3
680,58.5,452.71052,58.5,,,,2017,May,05-May,20170531,May-2017,Saturday,MetroBus,UT Shuttles,680-North Riverside/Lakeshore,07/31/2021,1,2017,8,3
493,0,0,0,0,0,0,2018,August,08-Aug,20180831,Aug-2018,Sunday,MetroBus,Special Service Routes,493-EASTVIEW,07/31/2021,1,2018,11,4
640,21748.72012,50181.21586,50181.21586,63502.91255,63502.91255,29310.3398,2017,November,11-Nov,20171130,Nov-2017,Weekday,MetroBus,UT Shuttles,640-Forty Acres,07/31/2021,1,2018,2,1
110,0,0,0,0,0,0,2019,April,04-Apr,20190430,Apr-2019,Sunday,MetroBus,Flyer Routes,110-South Central Flyer,07/31/2021,1,2019,7,3
142,0,0,0,,,,2017,March,03-Mar,20170331,Mar-2017,Saturday,MetroBus,Flyer Routes,142-Metric Flyer,07/31/2021,1,2017,6,2
310,0,0,0,,,,2017,August,08-Aug,20170831,Aug-2017,Sunday,MetroBus,Crosstown Routes,310-Parker/Wickersham,07/31/2021,1,2017,11,4
661,0,0,0,0,0,0,2018,January,01-Jan,20180131,Jan-2018,Sunday,MetroBus,UT Shuttles,661-Far West/UT,07/31/2021,1,2018,4,2
1,8847.33332,99565.21522,8847.33332,11886.5,89512.81737,11886.5,2019,July,07-Jul,20190731,Jul-2019,Sunday,MetroBus,Local Routes,1-North Lamar/South Congress,07/31/2021,1,2019,10,4
238,588,3684.29431,1446.1944,1642.37139,3647.97044,798.66664,2018,February,02-Feb,20180228,Feb-2018,Sunday,MetroBus,Feeder Routes,238-Westgate,07/31/2021,1,2018,5,2
100,0,0,0,0,0,0,2020,April,04-Apr,20200430,Apr-20,Weekday,MetroBus,Flyer Routes,100-MetroAirport,07/31/2021,1,2020,7,3
318,0,0,0,0,0,0,2018,May,05-May,20180531,May-2018,Sunday,MetroBus,Crosstown Routes,318-Westgate/Slaughter,07/31/2021,1,2018,8,3
661,14321.66664,103491.78992,14321.66664,21921.98706,124097.43016,21921.98706,2019,January,01-Jan,20190131,Jan-2019,Weekday,MetroBus,UT Shuttles,661-Far West/UT,07/31/2021,1,2019,4,2
801,13281.86664,192678.34876,46184.22396,68849.43326,206216.0546,23744.91665,2020,June,06-Jun,20200630,Jun-20,Sunday,MetroRapid,MetroRapid,801-N Lamar S Congress,07/31/2021,1,2020,9,3
640,0,349.16071,180.16071,142.5,354.73404,0,2019,June,06-Jun,20190630,Jun-2019,Saturday,MetroBus,UT Shuttles,640-Forty Acres,07/31/2021,1,2019,9,3
